ID,price,countofbedrooms,countofbathrooms,size,minimumtosubway,buildingage,haswasher,haselevator,hasdishwasher,hasgym
80,2100,0.0,1,400,5,101,0,0,0,0
81,2300,1.0,1,500,6,96,0,0,0,0
82,16750,3.0,3,2850,1,102,0,0,0,0
83,6400,2.0,1,1151,3,87,0,0,0,0
84,5595,2.0,2,1170,4,85,1,1,1,1
85,2800,0.0,1,466,5,10,0,1,0,0
86,3219,0.0,1,533,4,47,0,0,0,0
87,8500,2.0,2,1244,1,9,1,1,0,0
88,10000,2.0,2,1508,1,89,0,0,0,0
89,3775,1.0,1,600,0,56,0,0,0,0
90,4350,1.0,1,880,7,16,0,0,0,0
91,3995,1.0,1,899,1,112,0,0,0,0
92,4995,2.0,2,1153,43,9,0,0,0,0
93,7195,5.0,2,2430,5,96,0,0,0,0
94,7600,2.0,2,1500,5,2,0,0,0,0
95,2995,1.0,1,350,1,116,0,0,0,0
96,4490,1.0,1,620,4,16,0,0,0,0
97,3450,3.0,2,1800,2,101,0,0,0,0
98,3800,1.0,1,700,13,9,0,1,0,1
99,14662,4.0,3,1732,4,113,0,0,0,0
100,2575,0.0,1,490,3,15,0,0,0,0
101,3750,1.0,1,700,3,90,0,0,0,0
102,6695,2.0,2,1033,2,30,0,0,0,0
103,5500,1.0,1,1165,5,37,0,0,0,0
104,5475,1.0,1,1094,2,30,1,1,1,1
105,4910,2.0,2,933,10,16,0,0,0,0
106,5150,1.0,1,695,3,52,0,0,0,0
107,4950,1.0,1,1115,5,37,0,0,0,0
108,5225,1.0,1,770,3,52,0,0,0,0
109,13750,3.0,3,1920,43,8,0,0,0,0
110,4500,1.0,1,755,7,6,0,0,0,0
111,2200,1.0,1,675,4,88,0,0,0,0
112,4000,1.0,1,840,10,30,0,0,0,0
113,4300,0.0,1,559,3,11,0,0,0,0
114,2750,1.0,1,730,5,9,0,0,0,0
115,5120,2.0,2,1003,10,16,0,0,0,0
116,5895,2.0,2,1200,2,13,0,0,0,0
117,11723,3.0,2,1540,1,89,0,0,0,0
118,4270,1.0,1,630,2,13,0,0,0,0
119,2995,0.0,1,548,2,13,1,0,1,0
120,2150,1.0,1,687,4,96,0,0,0,0
121,3500,1.0,1,651,6,37,0,0,0,0
122,2150,1.0,1,650,7,115,0,1,0,1
123,2350,0.0,1,400,5,30,1,1,0,1
124,4499,2.0,1,837,6,37,0,1,1,1
125,3815,1.0,1,665,8,16,0,0,0,0
126,3200,2.0,1,850,7,60,0,1,1,1
127,1625,1.0,1,560,6,96,0,0,0,0
128,3500,1.0,1,722,12,32,0,0,0,0
129,3495,1.0,1,686,10,29,0,0,0,0
130,2025,0.0,1,350,3,90,0,0,0,0
131,2700,3.0,1,750,2,112,0,0,0,0
132,3550,1.0,1,748,6,10,0,0,1,0
133,6000,1.0,1,1500,2,151,0,0,0,0
134,4750,2.0,2,917,3,15,0,0,0,0
135,2800,0.0,1,520,2,9,0,1,0,0
136,5000,1.0,1,707,2,8,0,1,1,0
137,3500,2.0,2,1050,5,96,1,0,1,0
138,6800,2.0,2,1295,11,15,0,0,0,0
139,2775,0.0,1,500,3,30,0,0,0,0
140,7900,2.0,2,1160,2,75,0,0,0,0
141,3995,1.0,1,800,3,27,0,1,0,0
142,9950,1.0,2,2050,3,52,0,0,0,0
143,3400,1.0,1,800,7,16,0,0,0,0
144,3300,1.0,1,725,4,91,1,1,1,0
145,11000,2.0,2,3000,0,116,0,1,1,0
146,3250,2.0,1,850,5,116,0,0,0,0
147,5700,2.0,2,1176,12,7,0,0,0,0
148,7246,2.0,2,1080,1,89,0,0,0,0
149,5688,2.0,2,1260,7,39,0,0,0,0
150,6350,1.0,2,1352,1,126,0,0,0,0
151,2800,0.0,1,351,1,29,0,0,0,0
152,5740,1.0,1,761,5,6,0,0,0,0
153,3500,2.0,2,1031,3,13,0,0,0,0
154,12500,3.0,3,2500,5,96,0,0,0,0
155,2695,0.0,1,625,9,8,1,0,1,0
156,2895,0.0,1,506,2,41,0,1,0,0
157,16500,2.0,2,1895,9,1,0,0,0,0
158,5000,1.0,1,764,2,38,1,0,1,0
159,6600,2.0,2,1100,2,92,0,0,0,0
160,3490,2.0,2,800,6,106,0,0,0,0
161,4800,2.0,2,1000,3,96,0,1,0,0
162,4050,1.0,1,805,11,15,0,0,0,0
163,5850,1.0,1,752,3,6,0,0,0,0
164,2300,1.0,1,650,3,76,0,0,0,0
165,3275,0.0,1,480,4,86,0,0,0,0
166,4095,1.0,1,713,4,19,0,0,1,0
167,2995,2.0,1,800,3,106,0,0,0,0
168,5900,2.0,2,1076,5,30,0,0,0,0
169,3920,1.0,1,718,4,16,1,1,1,1
170,4795,1.0,1,707,7,16,0,1,0,1
171,3800,1.0,1,600,2,9,0,0,0,0
172,12500,3.0,3,1833,5,2,0,0,0,0
173,5000,1.0,1,805,4,9,1,1,1,1
174,4365,0.0,1,619,3,6,0,0,0,0
175,3950,1.0,1,899,1,112,0,0,0,0
176,4000,1.0,1,740,2,14,0,0,0,0
177,3905,1.0,1,809,7,39,0,0,0,0
178,4000,1.0,1,700,3,62,1,1,0,0
179,2750,0.0,1,475,1,25,0,1,0,1
180,3631,1.0,1,707,3,71,0,0,0,0
181,2095,0.0,1,410,8,106,0,1,0,0
182,7995,2.0,2,852,3,106,0,0,0,0
183,2995,0.0,1,579,4,55,0,1,0,1
184,18450,2.0,2,830,2,29,1,1,1,1
185,4250,1.0,1,800,13,9,0,0,0,0
186,4995,1.0,1,972,7,6,1,0,0,0
187,4200,0.0,1,530,1,90,0,1,0,0
188,4300,1.0,1,700,5,37,0,1,1,0
189,14000,2.0,2,2000,4,33,0,1,0,0
190,8250,2.0,2,1406,4,11,0,1,1,1
191,3950,1.0,1,750,2,106,1,1,0,0
192,5995,1.0,2,1815,4,96,0,1,0,1
193,4785,1.0,1,823,5,44,0,0,0,0
194,4800,2.0,2,1150,12,27,0,1,1,1
195,3595,1.0,1,620,11,31,0,0,0,0
196,4500,2.0,2,1041,10,27,0,1,1,0
197,5415,1.0,1,767,2,8,0,0,0,0
198,5500,1.0,1,1145,4,11,0,1,0,1
199,3700,2.0,1,850,4,53,0,0,0,0
200,1700,1.0,1,400,8,5,0,0,0,0
201,2799,0.0,1,750,3,96,0,0,0,0
202,9300,3.0,3,1800,3,100,0,0,0,0
203,4990,1.0,1,643,3,6,0,0,0,0
204,7795,3.0,2,1266,1,43,0,0,0,0
205,6000,2.0,2,900,1,31,1,0,0,0
206,2450,0.0,1,450,2,93,0,0,0,0
207,7000,4.0,3,2200,6,57,0,0,0,0
208,3250,0.0,1,570,2,86,0,0,0,0
209,5495,1.0,1,860,2,30,0,0,0,0
210,4050,1.0,1,834,2,58,1,1,1,0
211,3900,1.0,1,720,4,7,0,0,0,0
212,3195,1.0,1,574,2,99,0,1,0,1
213,3000,1.0,1,496,2,28,0,0,0,0
214,3700,1.0,1,642,10,29,0,0,0,0
215,7950,2.0,2,1280,2,38,0,0,0,0
216,2995,1.0,1,610,2,29,0,1,1,0
217,2600,0.0,1,437,12,8,1,0,1,0
218,2095,0.0,1,410,8,106,0,1,0,0
219,5668,2.0,2,1022,4,47,0,0,0,0
220,7995,3.0,2,1518,3,31,0,1,0,0
221,3190,1.0,1,650,6,106,0,0,0,0
222,2300,1.0,1,400,12,106,0,0,0,0
223,4950,2.0,2,917,3,15,0,0,0,0
224,3100,1.0,1,475,3,116,0,0,0,0
225,6400,3.0,2,1300,11,17,1,1,1,1
226,3950,1.0,1,800,2,8,1,0,1,0
227,4400,1.0,1,500,3,106,0,0,0,0
228,6450,2.0,2,1025,6,2,0,0,0,0
229,3100,1.0,1,757,4,19,0,0,0,0
230,7700,2.0,2,1175,2,6,0,0,0,0
231,18250,4.0,4,2700,2,85,0,1,1,1
232,13500,3.0,3,1868,43,8,0,0,0,0
233,5780,3.0,2,1300,2,38,0,0,0,0
234,6800,2.0,2,1280,3,11,1,1,1,1
235,3300,2.0,1,750,12,96,0,0,0,0
236,5500,2.0,1,1000,3,101,0,0,0,0
237,1750,2.0,1,500,4,100,0,0,0,0
238,8500,2.0,2,1478,9,15,0,0,0,0
239,2650,0.0,1,482,6,28,0,0,0,0
240,3700,1.0,1,763,3,31,0,1,1,1
241,6000,1.0,1,923,1,51,1,0,0,0
242,5145,2.0,2,1038,7,39,0,0,0,0
243,2600,1.0,1,525,2,115,0,0,0,0
244,1600,0.0,1,550,7,106,0,0,0,0
245,3058,0.0,1,533,4,47,0,0,0,0
246,4475,0.0,1,583,8,10,0,1,0,1
247,4950,1.0,1,927,3,29,1,1,1,0
248,3932,1.0,1,678,4,47,0,0,0,0
249,3000,1.0,1,730,2,53,0,0,0,0
250,5150,3.0,1,910,9,86,0,0,0,0
251,3450,1.0,1,750,2,96,0,0,0,0
252,2250,2.0,1,750,7,102,0,0,1,0
253,4260,2.0,1,958,10,27,1,0,1,0
254,4375,1.0,1,668,2,16,1,0,0,0
255,10995,3.0,3,1800,7,9,0,0,0,0
256,2900,1.0,1,600,12,27,0,1,0,1
257,4200,1.0,1,690,7,6,1,0,0,0
258,7500,3.0,2,1425,3,54,0,0,0,0
259,3665,1.0,1,674,4,47,0,0,0,0
260,3800,3.0,2,1100,5,96,0,0,0,0
261,2995,1.0,1,800,4,66,0,0,0,0
262,3935,1.0,1,752,6,14,0,0,0,0
263,2495,0.5,1,500,6,96,1,1,1,1
264,3400,1.0,1,636,4,31,0,0,0,0
265,5535,2.0,2,971,8,16,0,1,1,1
266,3600,1.0,1,643,3,8,0,0,0,0
267,5440,2.0,2,1120,3,30,0,0,0,0
268,1950,0.0,1,400,6,75,1,0,0,0
269,4100,1.0,1,600,6,6,0,0,0,0
270,2200,0.0,1,275,1,116,0,0,0,0
271,7000,2.5,2,1367,3,29,0,1,1,1
272,4695,2.0,2,1033,4,108,0,0,0,0
273,5300,1.0,1,855,1,8,0,1,0,0
274,7900,2.0,2,1025,6,2,0,0,0,0
275,3600,1.0,1,648,4,2,0,0,0,0
276,1950,2.0,1,900,3,91,0,0,0,0
277,7500,2.0,2,1600,2,116,0,0,0,0
278,5150,1.0,1,719,4,9,1,1,1,1
279,4730,2.0,2,829,3,15,0,0,0,0
280,1460,0.0,1,305,5,57,0,0,0,0
281,5300,1.0,2,1141,6,113,0,0,0,0
282,9995,3.0,3,1947,1,90,0,0,0,0
283,3950,1.0,1,679,1,29,0,0,0,0
284,2685,1.0,1,550,3,53,0,1,0,0
285,2695,1.0,1,700,2,106,0,1,0,1
286,3500,1.0,1,625,4,42,1,1,0,1
287,4000,2.0,1,1024,2,51,0,0,0,0
288,14000,2.0,2,2556,1,132,0,0,0,0
289,9950,1.0,1,1238,2,3,0,0,0,0
290,3675,1.0,1,900,2,55,0,0,0,0
291,7250,2.0,2,1150,1,25,0,1,0,0
292,3425,0.0,1,465,2,17,0,0,0,0
293,2125,0.5,1,500,9,86,0,0,0,0
294,4200,1.0,1,800,2,106,1,1,1,1
295,2999,1.0,1,600,2,65,0,0,1,0
296,5100,1.0,1,720,3,115,0,1,0,1
297,5256,2.0,2,979,3,13,0,0,0,0
298,3688,0.0,1,766,4,47,0,0,0,0
299,2595,1.0,1,650,4,106,0,0,0,0
300,3850,1.0,1,800,7,34,0,1,1,1
301,4000,1.0,1,687,3,31,1,1,0,0
302,3290,1.0,1,750,2,89,0,0,0,0
303,2100,1.0,1,650,4,88,0,0,0,0
304,5200,4.0,2,1000,2,116,0,0,0,0
305,10000,2.0,2,1350,2,38,0,0,0,0
306,6300,2.0,2,1260,8,46,0,0,0,0
307,4870,2.0,2,972,4,28,0,0,0,0
308,4500,1.0,2,890,9,106,0,0,0,0
309,6000,1.0,1,801,1,3,0,0,0,0
310,2500,2.0,1,800,4,96,0,0,0,0
311,14500,4.0,5,2700,8,18,1,1,1,1
312,4000,1.0,1,555,2,8,0,0,0,0
313,2150,1.0,1,669,6,4,0,0,0,0
314,12000,2.0,2,1828,4,76,0,0,0,0
315,2300,0.0,1,425,8,28,0,0,0,0
316,10780,3.0,2,1608,6,5,0,0,1,0
317,1650,1.0,1,585,1,96,0,0,0,0
318,5350,1.0,1,900,1,51,0,1,0,0
319,4495,2.0,2,951,12,32,0,1,0,1
320,14500,2.0,2,1400,2,98,0,0,0,0
321,3800,2.0,2,1100,5,12,0,0,0,0
322,1800,1.0,1,670,4,116,1,1,1,1
323,2450,0.0,1,400,2,116,0,0,0,0
324,6000,1.0,1,1000,2,116,0,1,0,0
325,2750,2.0,1,750,14,116,0,0,0,0
326,5050,1.0,1,985,5,37,0,0,0,0
327,2200,1.0,1,550,2,108,0,0,1,0
328,3085,0.0,1,506,5,44,1,0,0,0
329,3650,0.0,1,517,6,2,0,0,0,0
330,3800,1.0,1,710,6,37,0,1,0,0
331,3500,0.0,1,585,2,17,0,0,0,0
332,10500,4.0,2,1900,5,84,0,0,0,0
333,7999,4.0,2,1825,5,91,0,0,0,0
334,4185,1.0,1,884,10,27,0,1,0,0
335,3350,0.0,1,400,2,26,1,0,1,0
336,2850,3.0,1,850,2,96,0,0,0,0
337,3323,3.0,1,1400,3,96,0,0,0,0
338,4300,2.0,1,650,3,116,0,0,0,0
339,5900,1.0,1,980,3,33,0,0,0,0
340,3200,2.0,1,900,8,76,0,0,0,0
341,10662,3.0,4,2044,2,85,0,0,0,0
342,6650,2.0,2,1143,6,10,1,1,1,1
343,3800,1.0,1,682,3,31,0,0,0,0
344,4080,1.0,1,560,1,29,0,0,0,0
345,5000,2.0,2,1000,2,116,1,0,1,0
346,3500,1.0,1,700,1,91,0,0,1,0
347,7500,2.0,2,1487,10,9,1,1,1,1
348,4575,0.0,1,853,3,52,1,1,1,0
349,4000,1.0,1,775,2,90,0,0,0,0
350,3925,0.0,1,572,0,4,0,0,0,0
351,5500,1.0,2,934,2,29,0,0,1,0
352,8500,3.0,2,1650,2,14,0,0,0,0
353,3300,3.0,2,1300,2,96,0,0,0,0
354,15000,2.0,3,2800,6,109,1,0,0,0
355,4950,1.0,1,812,4,19,1,1,0,1
356,9995,3.0,3,1552,3,13,0,1,0,1
357,3495,1.0,1,771,2,90,0,0,0,0
358,2600,2.0,1,740,12,101,0,1,0,1
359,3000,2.0,1,800,3,96,0,0,0,0
360,5855,2.0,2,1171,10,27,0,0,0,0
361,4500,1.0,1,874,2,25,1,0,0,0
362,7995,1.0,1,1075,4,33,0,0,1,0
363,18000,4.0,4,3160,1,79,0,0,0,0
364,2450,0.0,1,475,3,85,0,0,0,0
365,3791,1.0,1,585,12,4,0,0,0,0
366,5600,1.0,1,865,2,85,0,0,0,0
367,3945,1.0,1,609,5,9,0,0,0,0
368,3000,0.0,1,613,3,31,1,1,0,1
369,7500,2.0,2,1400,4,90,0,1,1,1
370,3950,1.0,1,606,2,6,1,1,0,1
371,3450,0.0,1,500,1,3,0,0,0,0
372,3200,1.0,1,717,2,28,0,0,0,0
373,5850,1.0,1,850,2,30,0,1,0,1
374,10995,4.0,3,2200,4,90,1,0,0,0
375,2800,0.0,1,550,1,58,0,1,0,1
376,2575,0.0,1,386,10,29,1,0,1,0
377,1599,0.0,1,343,6,55,0,0,0,0
378,3400,1.0,1,606,6,37,0,0,0,0
379,2995,2.0,1,900,5,106,0,0,0,0
380,3790,1.0,1,752,7,7,0,0,0,0
381,4195,1.0,1,760,2,55,0,0,0,0
382,9415,3.0,2,1650,10,53,0,0,0,0
383,1795,1.0,1,800,3,79,0,0,0,0
384,6000,1.0,1,982,7,6,0,0,0,0
385,4765,1.0,1,741,4,2,0,0,0,0
386,5250,1.0,1,896,4,8,0,0,0,0
387,17500,3.0,3,2433,3,9,0,0,0,0
388,5250,2.0,1,861,4,37,0,0,0,0
389,3845,1.0,1,841,5,17,0,0,0,0
390,8000,2.0,2,1907,1,102,0,0,0,0
391,3560,1.0,1,698,6,14,1,1,1,1
392,1775,0.0,1,400,5,96,0,0,0,0
393,5100,2.0,2,1040,2,90,0,0,0,0
394,8000,3.0,3,2084,2,85,0,0,0,0
395,7650,1.0,1,900,1,11,0,0,0,0
396,15000,3.0,3,2070,3,29,0,1,1,0
397,3100,0.0,1,520,1,53,0,0,0,0
398,2445,0.0,1,500,4,96,0,0,0,0
399,5200,1.0,1,861,4,37,1,1,1,0
400,3285,0.0,1,494,3,54,0,0,0,0
401,10000,2.0,1,1500,1,106,0,1,1,0
402,5250,1.0,1,850,2,42,0,0,0,0
403,4600,3.0,2,1013,2,96,0,0,0,0
404,4450,2.0,2,1350,6,53,0,0,0,0
405,9000,3.0,3,1800,3,100,0,0,0,0
406,7000,2.0,2,1325,2,8,1,1,0,1
407,15000,3.0,3,1981,9,11,1,1,1,1
408,2995,1.0,1,750,2,91,0,0,0,0
409,4200,1.0,1,719,4,9,1,1,1,1
410,2600,0.0,1,400,5,30,0,0,0,0
411,9700,4.0,3,2000,2,75,0,0,0,0
412,6058,2.0,2,1222,13,1,0,0,0,0
413,11257,5.0,3,2000,9,6,0,0,0,0
414,5000,1.0,1,700,3,16,1,1,1,1
415,2400,0.0,1,503,1,30,1,1,0,0
416,3250,0.0,1,525,6,14,0,0,0,0
417,14000,2.0,2,2000,4,33,0,1,0,0
418,4035,0.0,1,490,3,6,0,0,0,0
419,3395,1.0,1,620,9,15,1,1,0,0
420,14000,3.0,3,2153,1,9,0,1,1,1
421,2825,0.0,1,538,1,112,0,0,0,0
422,2050,0.0,1,300,8,106,0,0,0,0
423,2995,0.0,1,500,2,50,0,0,0,0
424,5050,2.0,2,1195,4,28,0,0,0,0
425,5900,0.0,1,1650,1,11,0,0,0,0
426,2450,0.0,1,550,6,52,0,0,0,0
427,2200,0.0,1,400,8,86,1,1,1,0
428,3730,1.0,1,740,2,9,0,0,0,0
429,5600,1.0,1,909,1,6,1,1,1,1
430,2800,1.0,1,600,5,96,0,0,0,0
431,11000,2.0,2,2101,1,110,0,0,0,0
432,4350,1.0,1,643,4,2,0,0,0,0
433,3900,1.0,1,850,3,106,0,0,0,0
434,6500,2.0,2,1175,2,6,0,0,0,0
435,7495,2.0,1,650,3,106,0,0,0,0
436,2999,1.0,1,800,4,96,0,0,0,0
437,2595,1.0,1,600,7,106,1,1,1,1
438,5250,2.0,2,1000,2,34,0,0,0,0
439,5995,2.0,2,1500,2,89,0,0,0,0
440,3946,1.0,1,547,1,29,0,0,0,0
441,7800,2.0,2,1404,43,10,1,1,1,1
442,3200,0.0,1,613,3,31,1,0,0,0
443,4950,2.0,1,900,5,116,1,1,0,0
444,3650,2.0,1,850,43,14,0,0,0,0
445,2600,0.0,1,570,2,13,0,0,0,0
446,3100,4.0,1,1000,2,109,0,0,0,0
447,4500,2.0,1,900,3,116,1,1,0,0
448,5250,1.0,1,724,5,9,0,0,0,0
449,3375,1.0,1,658,6,14,1,1,1,1
450,4600,2.0,1,955,16,65,0,0,0,0
451,3675,1.0,1,650,3,31,0,1,0,0
452,3350,1.0,1,800,1,116,0,0,0,0
453,3500,1.0,1,760,5,8,1,0,0,0
454,6250,2.0,1,800,1,87,0,0,1,0
455,4700,1.0,1,941,7,39,0,0,0,0
456,2485,0.0,1,550,8,55,1,1,1,0
457,12500,3.0,3,1776,7,9,0,1,0,1
458,4615,1.0,1,775,9,86,0,0,0,0
459,3250,0.5,1,650,4,85,0,0,0,0
460,4000,1.0,1,900,16,65,0,1,0,1
461,2000,0.0,1,400,5,53,0,1,1,1
462,3950,1.0,1,860,2,29,0,0,0,0
463,2099,0.0,1,300,1,116,0,0,0,0
464,10000,2.0,2,1849,2,89,0,1,0,0
465,3195,0.0,1,620,10,18,0,0,0,0
466,2750,0.0,1,428,3,15,0,0,0,0
467,2950,0.0,1,525,5,30,0,1,0,0
468,5400,1.0,1,855,1,8,0,0,0,0
469,5100,1.0,1,767,2,9,0,0,0,0
470,2150,1.0,1,615,4,12,0,1,0,1
471,4800,2.0,2,1150,3,30,0,0,1,0
472,3415,1.0,1,592,1,116,0,0,0,0
473,5995,2.0,1,950,3,116,0,1,0,0
474,3695,1.0,1,1000,4,89,0,0,0,0
475,2650,0.0,1,547,2,86,0,0,0,0
476,4600,1.0,1,750,6,106,0,0,0,0
477,2790,0.0,1,472,4,47,0,0,0,0
478,3700,1.0,1,800,1,25,0,1,1,1
479,4500,2.0,1,864,5,30,1,1,0,1
480,14500,3.0,3,1800,2,22,0,0,0,0
481,3550,1.0,1,642,10,29,0,0,0,0
482,3535,1.0,1,702,5,17,0,0,0,0
483,9000,1.0,2,1800,2,116,0,0,0,0
484,4000,1.0,1,639,5,37,0,0,0,0
485,3323,0.0,1,431,2,16,0,1,1,1
486,6495,3.0,2,1195,3,37,1,1,0,0
487,2400,1.0,1,400,5,76,0,1,0,0
488,4600,2.0,2,1100,10,57,0,1,0,0
489,8000,2.0,2,1436,1,47,0,1,1,0
490,4495,2.0,1,801,6,31,1,0,0,0
491,2900,1.0,1,700,3,30,0,1,1,1
492,6080,2.0,2,1211,5,17,0,0,0,0
493,5100,4.0,1,1200,7,41,0,0,0,0
494,3453,0.0,1,514,12,4,0,0,0,0
495,9000,2.0,2,1611,1,8,0,0,0,0
496,9350,2.0,2,1700,2,85,0,0,0,0
497,3510,1.0,1,788,7,29,0,0,0,0
498,4506,2.0,1,1134,2,85,1,1,1,1
499,4000,1.0,1,550,2,89,1,1,1,1
500,3000,0.0,1,620,9,46,0,0,0,0
501,3370,1.0,1,583,10,16,0,0,0,0
502,6310,2.0,2,988,5,9,0,0,0,0
503,4995,2.0,2,908,7,29,0,0,0,0
504,3495,1.0,1,773,3,29,0,1,0,1
505,3823,0.0,1,924,3,44,0,0,0,0
506,12500,4.0,3,2150,2,38,0,0,0,0
507,12000,5.0,3,3425,2,111,0,0,0,0
508,7995,3.0,2,1317,4,7,0,0,0,0
509,3100,1.0,1,683,1,30,0,0,0,0
510,4610,1.0,1,602,3,16,1,1,1,1
511,4768,1.0,1,600,2,16,0,1,0,1
512,3650,1.0,1,709,4,116,0,1,0,0
513,2750,0.0,1,500,3,28,0,1,1,0
514,3900,3.0,1,1100,1,96,0,0,1,0
515,4000,1.0,1,768,2,9,0,0,0,0
516,5500,1.0,1,900,4,96,0,0,0,0
517,1850,2.0,1,550,2,116,0,0,0,0
518,3150,1.0,1,770,8,55,0,0,0,0
519,2400,1.0,1,775,2,95,0,0,0,0
520,11500,2.0,2,1644,1,89,0,0,0,0
521,2700,0.0,1,560,6,44,0,1,0,0
522,9950,3.0,2,1900,16,28,1,0,1,0
523,3200,1.0,1,670,1,29,0,1,0,1
524,4495,1.0,1,778,3,13,0,0,0,0
525,3150,1.0,1,700,12,32,0,0,0,0
526,5500,0.0,1,1200,4,109,0,0,0,0
527,3950,1.0,1,737,1,19,1,1,1,1
528,4200,4.0,2,2000,7,90,0,0,0,0
529,3195,2.0,1,850,3,106,0,0,0,0
530,4000,1.0,1,850,7,34,0,0,0,0
531,9995,2.0,2,1809,5,86,0,0,0,0
532,5125,2.0,2,1034,2,90,0,0,0,0
533,2625,0.0,1,565,1,12,0,0,0,0
534,3225,0.0,1,520,2,14,0,0,0,0
535,5950,1.0,1,732,8,10,0,0,0,0
536,2650,0.0,1,500,2,53,0,0,0,0
537,7500,1.0,1,992,5,86,0,0,0,0
538,5200,4.0,2,1500,1,91,0,0,0,0
539,6650,2.0,2,1171,3,61,1,1,0,0
540,2450,0.0,1,435,8,28,0,0,0,0
541,6700,2.0,1,1000,1,51,0,0,0,0
542,7195,2.0,2,1450,2,10,0,0,1,0
543,3350,0.0,1,428,10,0,0,0,0,0
544,4686,1.0,1,759,43,8,0,0,0,0
545,4500,1.0,1,938,1,180,0,1,0,1
546,2600,0.0,1,452,3,29,0,0,0,0
547,3000,1.0,1,703,4,27,0,1,0,1
548,6950,2.0,2,1150,2,6,0,0,0,0
549,4650,1.0,1,670,2,17,0,0,0,0
550,3350,1.0,1,714,5,26,0,0,0,0
551,6854,3.0,2,2200,7,96,0,0,0,0
552,3800,4.0,2,1500,5,96,0,0,0,0
553,8500,2.0,2,1409,43,8,0,0,0,0
554,2950,1.0,1,819,11,108,0,0,0,0
555,6250,1.0,1,987,2,8,1,1,1,0
556,7350,2.0,2,1380,10,30,0,0,0,0
557,4750,1.0,1,851,7,12,0,0,0,0
558,2720,0.0,1,265,9,0,0,0,0,0
559,2495,1.0,1,600,3,76,1,0,1,0
560,2150,1.0,1,600,5,126,0,0,0,0
561,2950,0.0,1,600,2,90,0,0,0,0
562,2700,0.0,1,450,7,115,0,0,0,0
563,3341,0.0,1,623,4,47,0,0,0,0
564,5300,2.0,2,1050,7,30,1,1,1,1
565,3400,1.0,1,623,2,89,0,1,0,1
566,6900,3.0,1,2200,1,116,0,0,0,0
567,2690,1.0,1,600,1,87,0,0,0,0
568,2000,1.0,1,600,8,106,0,0,0,0
569,3950,0.0,1,929,1,102,0,0,0,0
570,2600,0.0,1,428,12,8,1,1,1,1
571,15000,2.0,2,1700,2,80,0,0,0,0
572,13900,3.0,3,2000,5,2,0,0,0,0
573,2990,1.0,1,504,6,113,0,0,0,0
574,4795,2.0,2,1015,8,29,0,1,0,1
575,2850,2.0,1,750,7,106,0,0,0,0
576,3500,2.0,1,1000,6,57,0,0,0,0
577,6995,1.0,1,800,2,86,0,1,0,1
578,6500,1.0,1,1218,2,101,0,1,0,0
579,2700,0.0,1,450,3,15,0,0,0,0
580,7500,4.0,2,1500,3,55,0,1,0,0
581,5700,1.0,1,940,2,13,0,0,0,0
582,3900,1.0,1,560,2,106,0,0,0,1
583,4195,1.0,1,700,7,6,0,0,0,0
